tweet_id,date_time,favorites,retweets,user_followers,user_favourites
695409464418041856,2016-02-05 00:51:51,9420,4000,3768862,120161
695314793360662529,2016-02-04 18:35:39,3991,1664,3768862,120161
695095422348574720,2016-02-04 04:03:57,2873,680,3768863,120161
695074328191332352,2016-02-04 02:40:08,3097,1234,3768863,120161
695064344191721472,2016-02-04 02:00:27,1762,680,3768863,120161
695051054296211456,2016-02-04 01:07:39,2910,881,3768864,120161
694925794720792577,2016-02-03 16:49:55,2946,1036,3768864,120161
694905863685980160,2016-02-03 15:30:43,3031,1048,3768864,120161
694669722378485760,2016-02-02 23:52:22,25970,13452,3768864,120161
694356675654983680,2016-02-02 03:08:26,1643,325,3768864,120161
694352839993344000,2016-02-02 02:53:12,2231,696,3768864,120161
694342028726001664,2016-02-02 02:10:14,1720,552,3768864,120161
694329668942569472,2016-02-02 01:21:07,2189,567,3768864,120161
694206574471057408,2016-02-01 17:11:59,4571,2286,3768864,120161
694183373896572928,2016-02-01 15:39:48,3219,1036,3768864,120161
694001791655137281,2016-02-01 03:38:15,3691,1173,3768864,120161
693993230313091072,2016-02-01 03:04:14,2040,455,3768864,120161
693942351086120961,2016-01-31 23:42:03,1883,413,3768864,120161
693647888581312512,2016-01-31 04:11:58,2943,669,3768864,120161
693644216740769793,2016-01-31 03:57:23,1468,149,3768864,120161
693642232151285760,2016-01-31 03:49:30,2776,468,3768865,120161
693629975228977152,2016-01-31 03:00:47,2670,889,3768865,120161
693622659251335168,2016-01-31 02:31:43,1680,421,3768865,120161
693590843962331137,2016-01-31 00:25:18,5541,2219,3768865,120161
693582294167244802,2016-01-30 23:51:19,1800,291,3768865,120161
693486665285931008,2016-01-30 17:31:20,1933,694,3768865,120161
693280720173801472,2016-01-30 03:52:58,3654,1398,3768866,120161
693267061318012928,2016-01-30 02:58:42,2602,921,3768866,120161
693262851218264065,2016-01-30 02:41:58,2440,567,3768866,120161
693231807727280129,2016-01-30 00:38:37,3115,835,3768867,120161
693155686491000832,2016-01-29 19:36:08,8625,3606,3768867,120161
693109034023534592,2016-01-29 16:30:45,1882,692,3768867,120161
693095443459342336,2016-01-29 15:36:45,2049,521,3768867,120161
